log_num,input size,layers,number epochs,step per epoch,accuracy,loss,validation accuracy,validation loss
296,400,[128 256 512 1024],100,400,0.990254,0.024178,0.947647,0.21017,relu,True

297,400,[128 256 512 1024],10,1000,0.95908,0.10226,0.93106,0.164103,relu,True

298,400,[128 256 512 1024],20,1000,0.97538,0.06068,0.94771,0.148684,relu,True

299,400,[128 256 512 1024],30,1000,0.98277,0.04214,0.945315,0.16541,relu,True

300,400,[128 256 512 1024],40,1000,0.9877,0.0302,0.942374,0.191989,relu,True

301,400,[128 256 512 1024],50,1000,0.99001,0.024602,0.946227,0.185547,relu,True

302,400,[128 256 512 1024],60,1000,0.99194,0.01974,0.947156,0.191133,relu,True

303,400,[128 256 512 1024],70,1000,0.99315,0.01664,0.94644,0.215004,relu,True

304,400,[128 256 512 1024],80,1000,0.993944,0.014844,0.944289,0.222367,relu,True

305,400,[128 256 512 1024],10,1000,0.94849,0.12879,0.93195,0.16232,relu,True

306,400,[128 256 512 1024],20,1000,0.96452,0.08731,0.944881,0.135399,relu,True

307,400,[128 256 512 1024],30,1000,0.97168,0.06973,0.941608,0.139875,relu,True

308,400,[128 256 512 1024],40,1000,0.976262,0.057836,0.941589,0.147161,relu,True

309,400,[128 256 512 1024],50,1000,0.979764,0.049237,0.943499,0.146063,relu,True

310,400,[128 256 512 1024],60,1000,0.981584,0.046294,0.946691,0.139446,relu,True

311,400,[128 256 512 1024],70,1000,0.983619,0.040016,0.944905,0.153919,relu,True

312,400,[128 256 512 1024],80,1000,0.986275,0.033199,0.942842,0.153316,relu,True

313,400,[64 128 256 512 1024],10,1000,0.94603,0.1373,0.92797,0.16765,relu,True

314,400,[64 128 256 512 1024],20,1000,0.95824,0.1021,0.941978,0.142497,relu,True

315,400,[64 128 256 512 1024],30,1000,0.965444,0.084739,0.951069,0.121167,relu,True

316,400,[64 128 256 512 1024],40,1000,0.97126,0.07106,0.950685,0.122715,relu,True

317,400,[64 128 256 512 1024],50,1000,0.973869,0.063907,0.9494,0.12836,relu,True

318,400,[64 128 256 512 1024],60,1000,0.978098,0.053254,0.94894,0.12218,relu,True

319,400,[64 128 256 512 1024],70,1000,0.979654,0.049603,0.949461,0.121784,relu,True

320,400,[64 128 256 512 1024],80,1000,0.981586,0.044597,0.948493,0.136644,relu,True

321,400,[64 128 256 512 1024],90,1000,0.98263,0.042004,0.950479,0.133246,relu,True

322,400,[64 128 256 512 1024],100,1000,0.98398,0.03851,0.949022,0.136862,relu,True

323,400,[256 512 1024 2048],10,1000,0.948288,0.13043,0.916231,0.210995,relu,True

324,400,[64 128 256 512 1024],10,1000,0.983911,0.038966,0.950638,0.139379,relu,True

